ICD10Code,Description,Health Domain Grouping
N11,Chronic tubulo-interstitial nephritis ,Ambulatory Care Sensitive Acute
N12,Tubulo-interstitial nephritis not spec as acute or chronic ,Ambulatory Care Sensitive Acute
N13,Pyonephrosis ,Ambulatory Care Sensitive Acute
K25,Gastric ulcer ,Ambulatory Care Sensitive Acute
K26,Duodenal ulcer ,Ambulatory Care Sensitive Acute
K27,Peptic ulcer,Ambulatory Care Sensitive Acute
K28 ,Gastrojejunal ulcer ,Ambulatory Care Sensitive Acute
L03 ,Cellulitis ,Ambulatory Care Sensitive Acute
L04 ,Acute lymphadenitis ,Ambulatory Care Sensitive Acute
L08,Pyoderma ,Ambulatory Care Sensitive Acute
L88,Pyoderma gangrenosum ,Ambulatory Care Sensitive Acute
L98,Pyogenic granuloma ,Ambulatory Care Sensitive Acute
N70 ,Salpingitis and oophoritis ,Ambulatory Care Sensitive Acute
N73 ,Other female pelvic inflammatory diseases,Ambulatory Care Sensitive Acute
N74 ,Female pelvic inflammatory disorders in diseases EC ,Ambulatory Care Sensitive Acute
H66 ,Suppurative and unspecified otitis media ,Ambulatory Care Sensitive Acute
H67 ,Otitis media in diseases classified elsewhere ,Ambulatory Care Sensitive Acute
J02 ,Acute pharyngitis ,Ambulatory Care Sensitive Acute
J03 ,Acute tonsillitis ,Ambulatory Care Sensitive Acute
J06 ,Acute upper respiratory infections multiple and unsp sites ,Ambulatory Care Sensitive Acute
J31,Chronic pharyngitis ,Ambulatory Care Sensitive Acute
A69,Necrotizing ulcerative stomatitis ,Ambulatory Care Sensitive Acute
K02 ,Dental caries ,Ambulatory Care Sensitive Acute
K03 ,Other diseases of hard tissues of teeth ,Ambulatory Care Sensitive Acute
K04 ,Diseases of pulp and periapical tissues ,Ambulatory Care Sensitive Acute
K05,Gingivitis and periodontal diseases ,Ambulatory Care Sensitive Acute
K06,Other disorders of gingiva and edentulous alveolar ridge ,Ambulatory Care Sensitive Acute
K08 ,Other disorders of teeth and supporting structures ,Ambulatory Care Sensitive Acute
K09,Other cysts,Ambulatory Care Sensitive Acute
K12 ,Stomatitis and related lesions ,Ambulatory Care Sensitive Acute
K13 ,Other diseases of lip and oral mucosa ,Ambulatory Care Sensitive Acute
G40 ,Epilepsy ,Ambulatory Care Sensitive Chronic
G41 ,Status epilepticus ,Ambulatory Care Sensitive Chronic
R56 ,"Convulsions, not elsewhere classified ",Ambulatory Care Sensitive Chronic
O15 ,Eclampsia ,Ambulatory Care Sensitive Chronic
R02 ,"Gangrene, not elsewhere classified ",Ambulatory Care Sensitive Acute
